fairness,satisfaction,redist1,redist2,redist3,redist3R,redist4,redist4R,Sup4R,Household_Income,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
2,3,4,5,3,4,3,4,4.25,130000,45,1,41.15883191,42120,37.87297921,38970
3,3,6,6,1,6,5,2,5,130000,53,1,30.26950491,77865,22.50296108,70920
2,2,5,6,2,5,1,6,5.5,130000,59,2,39.65840622,61740,41.02649326,62280
4,4,3,3,4,3,3,4,3.25,130000,28,2,31.58089669,38475,38.58333333,45000
4,3,4,4,2,5,5,2,3.75,140000,25,1,26.05722687,66315,39.94606947,65640
8,8,1,2,4,3,5,2,2,150000,36,2,32.75644699,52350,12.73529412,102000
4,6,3,4,4,3,4,3,3.25,150000,21,2,36.34746307,70065,36.29935523,48855
4,5,2,3,4,3,5,2,2.5,159850,43,1,30.37818955,98760,27.25992063,75600
3,3,5,5,2,5,5,2,4.25,160000,53,2,44.30279898,58950,18.2195122,92250
5,4,1,3,3,4,5,2,2.5,164000,39,2,29.37323944,85200,28.94963781,43485
5,3,5,4,2,5,3,4,4.5,175000,26,2,21.41097747,88545,23.4901722,86235
3,3,4,5,2,5,4,3,4.25,180000,35,2,31.69418703,71220,35.40740741,101250
1,1,6,6,1,6,1,6,6,180000,55,1,45.71542553,33840,43.14237288,22125
5,5,1,2,3,4,6,1,2,185000,55,1,39.05232003,78555,21.01970443,121800
8,8,1,1,4,3,6,1,1.5,190000,46,1,32.13628588,78915,22.3526971,126525
1,1,6,6,3,4,3,4,5,200000,27,2,34.47448097,69360,33.36817654,51660
3,3,3,4,4,3,4,3,3.25,200000,32,1,31.59412305,65340,22.5498001,86295
3,3,3,5,3,4,6,1,3.25,200000,60,1,31.23807182,60990,6.418472064,131550
5,5,1,2,5,2,1,6,2.75,240000,23,1,35.67789474,71250,17.55555556,148500
